Sample_ID,Target_Dose_ppm_h,H2S_Concentration_ppm,Exposure_Time_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,CIE_Lab_Coordinates,Delta_E_CIE76,Expiry_Status,Action_Flag
CP-022,0.07,0.24,0.3,24,46,57,"42.1, 26.9, -20.1",2.6,Fresh (Active),Clean / Safe (Trace Baseline)
CP-023,0.38,0.26,1.4,21,38,14,"44.9, 30.6, -12.0",11.8,Fresh (Active),Clean / Safe (Trace Baseline)
CP-024,0.42,0.19,2.2,26,66,34,"47.3, 31.7, -10.6",14.4,Fresh (Active),Clean / Safe (Trace Baseline)
CP-025,0.05,0.16,0.3,19,49,17,"40.9, 27.6, -19.7",2.8,Fresh (Active),Clean / Safe (Trace Baseline)
CP-026,0.29,0.21,1.4,40,59,48,"46.2, 31.0, -11.3",13.1,Fresh (Active),Clean / Safe (Trace Baseline)
CP-027,0.15,0.1,1.5,39,77,27,"43.3, 28.9, -16.4",6.9,Fresh (Active),Clean / Safe (Trace Baseline)
CP-028,0.15,0.1,1.5,28,41,43,"43.0, 27.9, -16.6",6.2,Fresh (Active),Clean / Safe (Trace Baseline)
CP-029,0.04,0.1,0.4,23,78,45,"41.6, 27.0, -19.7",2.7,Fresh (Active),Clean / Safe (Trace Baseline)
CP-030,0.06,0.13,0.5,39,80,36,"42.2, 27.1, -20.7",2.4,Fresh (Active),Clean / Safe (Trace Baseline)
CP-031,0.15,0.02,7.4,19,62,45,"42.5, 27.7, -17.4",5.3,Fresh (Active),Clean / Safe (Trace Baseline)
CP-032,0.29,0.24,1.2,36,66,47,"46.4, 30.4, -12.4",12.1,Fresh (Active),Clean / Safe (Trace Baseline)
CP-033,0.05,0.2,0.2,35,60,25,"41.3, 26.9, -19.3",3.0,Fresh (Active),Clean / Safe (Trace Baseline)
CP-034,0.38,0.05,7.6,32,65,60,"47.0, 32.0, -10.2",14.8,Fresh (Active),Clean / Safe (Trace Baseline)
CP-035,0.24,0.3,0.8,19,81,79,"44.6, 29.3, -13.8",9.7,Fresh (Active),Clean / Safe (Trace Baseline)
CP-036,1.33,0.62,2.1,30,56,60,"56.2, 37.6, 13.9",40.9,Valid (Active),Action Level (Intermediate Dose)
CP-037,0.73,0.7,1.1,30,39,70,"50.5, 36.7, -1.9",24.9,Valid (Active),Action Level (Intermediate Dose)
CP-038,1.3,0.27,4.8,22,76,21,"56.5, 38.9, 15.4",42.7,Valid (Active),Action Level (Intermediate Dose)
CP-039,1.11,1.59,0.7,28,36,44,"54.3, 40.1, 8.8",36.6,Valid (Active),Action Level (Intermediate Dose)
CP-040,0.45,0.32,1.4,36,54,14,"47.3, 32.5, -8.4",16.5,Valid (Active),Action Level (Intermediate Dose)
CP-041,1.0,0.77,1.3,26,35,47,"52.0, 39.2, 4.0",31.3,Valid (Active),Action Level (Intermediate Dose)
CP-042,0.96,1.05,0.9,20,76,81,"53.1, 40.9, 5.6",33.8,Valid (Active),Action Level (Intermediate Dose)
CP-043,0.86,0.33,2.6,25,80,34,"52.9, 39.9, 5.3",33.0,Valid (Active),Action Level (Intermediate Dose)
CP-044,1.06,1.38,0.8,38,52,3,"54.9, 39.5, 10.2",37.8,Valid (Active),Action Level (Intermediate Dose)
CP-045,1.36,1.36,1.0,40,46,31,"57.1, 38.8, 17.0",44.3,Valid (Active),Action Level (Intermediate Dose)
CP-046,1.26,0.27,4.7,31,81,69,"57.6, 38.3, 17.7",44.9,Valid (Active),Action Level (Intermediate Dose)
CP-047,0.59,0.17,3.5,34,52,73,"48.8, 35.4, -4.9",21.2,Valid (Active),Action Level (Intermediate Dose)
CP-048,1.39,1.22,1.1,38,79,15,"58.0, 37.1, 20.0",46.8,Valid (Active),Action Level (Intermediate Dose)
CP-049,1.11,0.4,2.8,42,38,32,"55.5, 40.1, 9.6",37.7,Valid (Active),Action Level (Intermediate Dose)
CP-050,1.0,1.21,0.8,19,50,58,"53.3, 39.3, 5.6",33.2,Valid (Active),Action Level (Intermediate Dose)
CP-051,0.71,1.14,0.6,41,73,13,"52.2, 38.6, 3.1",30.4,Valid (Active),Action Level (Intermediate Dose)
CP-052,0.66,1.12,0.6,20,70,28,"50.4, 36.1, -2.9",23.8,Valid (Active),Action Level (Intermediate Dose)
CP-053,1.1,1.0,1.1,28,38,10,"52.7, 39.9, 8.1",35.3,Valid (Active),Action Level (Intermediate Dose)
CP-054,0.81,1.21,0.7,39,58,60,"53.0, 40.3, 4.6",32.7,Valid (Active),Action Level (Intermediate Dose)
CP-055,0.99,1.15,0.9,28,37,58,"52.7, 40.1, 4.0",32.0,Valid (Active),Action Level (Intermediate Dose)
CP-056,1.49,0.67,2.2,42,58,60,"58.4, 37.0, 21.4",48.2,Valid (Active),Action Level (Intermediate Dose)
CP-057,1.41,0.31,4.6,34,56,13,"57.9, 37.3, 17.3",44.4,Valid (Active),Action Level (Intermediate Dose)
CP-058,0.48,0.23,2.1,26,38,47,"47.7, 32.4, -8.3",16.8,Valid (Active),Action Level (Intermediate Dose)
CP-059,0.57,0.52,1.1,30,40,63,"48.7, 33.1, -7.1",18.4,Valid (Active),Action Level (Intermediate Dose)
CP-060,1.07,0.19,5.6,37,74,81,"55.4, 39.5, 12.7",40.1,Valid (Active),Action Level (Intermediate Dose)
CP-061,0.58,0.45,1.3,22,67,41,"48.9, 34.4, -5.8",20.1,Valid (Active),Action Level (Intermediate Dose)
CP-062,0.94,1.25,0.8,20,58,50,"51.3, 38.9, 4.3",31.2,Valid (Active),Action Level (Intermediate Dose)
CP-063,0.73,0.63,1.2,18,47,29,"49.3, 35.7, -3.3",22.8,Valid (Active),Action Level (Intermediate Dose)
CP-064,1.42,0.27,5.2,24,60,47,"57.3, 38.7, 15.6",43.1,Valid (Active),Action Level (Intermediate Dose)
CP-065,0.93,0.32,2.9,40,75,75,"54.5, 40.0, 10.1",37.7,Valid (Active),Action Level (Intermediate Dose)
CP-066,1.52,1.9,0.8,42,66,18,"61.0, 35.5, 24.5",51.7,Valid (Active),PEL / Limit (Elevated Exposure)
CP-067,2.04,2.91,0.7,22,77,20,"62.5, 31.6, 31.2",57.8,Valid (Active),PEL / Limit (Elevated Exposure)
CP-068,3.96,1.95,2.0,37,71,76,"69.9, 25.5, 47.9",75.8,Valid (Active),PEL / Limit (Elevated Exposure)
CP-069,3.62,1.23,2.9,36,67,69,"70.7, 25.2, 48.4",76.6,Valid (Active),PEL / Limit (Elevated Exposure)
CP-070,4.11,1.54,2.7,26,41,71,"70.7, 26.1, 48.8",77.0,Valid (Active),PEL / Limit (Elevated Exposure)
CP-071,4.98,0.65,7.7,40,72,38,"70.9, 26.3, 49.6",77.8,Valid (Active),PEL / Limit (Elevated Exposure)
CP-072,2.43,2.73,0.9,34,69,30,"66.6, 29.0, 41.8",69.0,Valid (Active),PEL / Limit (Elevated Exposure)
CP-073,4.31,3.68,1.2,18,60,23,"71.0, 25.1, 48.7",77.0,Valid (Active),PEL / Limit (Elevated Exposure)
CP-074,2.9,3.77,0.8,35,79,25,"70.7, 25.1, 48.8",77.0,Valid (Active),PEL / Limit (Elevated Exposure)
CP-075,2.52,0.53,4.8,39,46,7,"67.5, 29.9, 41.1",68.7,Valid (Active),PEL / Limit (Elevated Exposure)
CP-076,4.15,0.97,4.3,25,82,72,"70.4, 26.2, 48.6",76.7,Valid (Active),PEL / Limit (Elevated Exposure)
CP-077,2.65,2.3,1.1,34,68,4,"69.0, 27.5, 43.5",71.5,Valid (Active),PEL / Limit (Elevated Exposure)
CP-078,1.76,0.52,3.4,21,48,34,"58.2, 37.1, 19.7",46.6,Valid (Active),PEL / Limit (Elevated Exposure)
CP-079,2.83,2.92,1.0,32,45,49,"68.0, 28.7, 42.0",69.7,Valid (Active),PEL / Limit (Elevated Exposure)
CP-080,4.97,3.71,1.3,28,57,42,"71.0, 24.7, 49.2",77.5,Valid (Active),PEL / Limit (Elevated Exposure)
CP-081,1.86,0.91,2.0,22,75,59,"61.9, 34.1, 26.8",53.9,Valid (Active),PEL / Limit (Elevated Exposure)
CP-082,3.48,0.96,3.6,30,72,61,"70.0, 25.3, 48.8",76.7,Valid (Active),PEL / Limit (Elevated Exposure)
CP-083,2.03,0.66,3.1,18,45,3,"59.5, 36.9, 23.8",50.8,Valid (Active),PEL / Limit (Elevated Exposure)
CP-084,2.18,0.61,3.6,40,36,63,"63.9, 31.3, 33.6",60.6,Valid (Active),PEL / Limit (Elevated Exposure)
CP-085,2.0,1.82,1.1,28,82,51,"64.1, 32.3, 33.5",60.6,Valid (Active),PEL / Limit (Elevated Exposure)
CP-086,1.59,0.58,2.7,21,75,18,"58.2, 36.6, 19.0",45.9,Valid (Active),PEL / Limit (Elevated Exposure)
CP-087,2.35,3.18,0.7,24,49,38,"63.5, 31.7, 31.9",58.9,Valid (Active),PEL / Limit (Elevated Exposure)
CP-088,1.54,1.22,1.3,40,76,33,"61.1, 35.2, 24.7",51.9,Valid (Active),PEL / Limit (Elevated Exposure)
CP-089,4.99,3.22,1.6,36,52,32,"70.4, 25.8, 49.0",77.0,Valid (Active),PEL / Limit (Elevated Exposure)
CP-090,4.47,1.62,2.8,40,61,76,"70.9, 26.0, 49.1",77.3,Valid (Active),PEL / Limit (Elevated Exposure)
CP-091,13.04,11.24,1.2,30,56,61,"79.8, 14.2, 71.3",101.9,Valid (Active),Critical (Severe Overexposure)
CP-092,20.07,4.08,4.9,36,58,75,"79.0, 14.3, 70.9",101.2,Valid (Active),Critical (Severe Overexposure)
CP-093,43.98,7.14,6.2,28,41,60,"80.4, 13.7, 71.0",101.9,Valid (Active),Critical (Severe Overexposure)
CP-094,31.97,8.98,3.6,23,46,13,"80.0, 14.1, 71.3",102.0,Valid (Active),Critical (Severe Overexposure)
CP-095,33.13,9.63,3.4,34,56,45,"80.4, 13.5, 71.3",102.2,Valid (Active),Critical (Severe Overexposure)
CP-096,34.26,10.74,3.2,25,63,15,"79.4, 14.0, 71.3",101.8,Valid (Active),Critical (Severe Overexposure)
CP-097,14.66,7.44,2.0,27,39,54,"79.7, 14.2, 70.3",101.0,Valid (Active),Critical (Severe Overexposure)
CP-098,12.59,4.17,3.0,34,82,76,"79.5, 14.3, 71.9",102.3,Valid (Active),Critical (Severe Overexposure)
CP-099,19.67,8.3,2.4,33,75,6,"79.6, 14.3, 70.7",101.3,Valid (Active),Critical (Severe Overexposure)
CP-100,13.19,8.35,1.6,30,68,61,"79.6, 14.7, 71.1",101.6,Valid (Active),Critical (Severe Overexposure)
CP-101,37.2,5.75,6.5,25,46,73,"79.3, 13.7, 70.3",100.9,Valid (Active),Critical (Severe Overexposure)
CP-102,16.37,12.69,1.3,32,45,74,"80.0, 13.9, 70.3",101.1,Valid (Active),Critical (Severe Overexposure)
CP-103,27.0,7.85,3.4,42,37,36,"80.2, 13.6, 72.0",102.8,Valid (Active),Critical (Severe Overexposure)
CP-104,39.72,9.93,4.0,24,72,80,"80.0, 13.5, 70.4",101.3,Valid (Active),Critical (Severe Overexposure)
CP-105,19.48,6.56,3.0,38,72,77,"79.6, 13.9, 70.9",101.5,Valid (Active),Critical (Severe Overexposure)
CP-106,23.5,3.76,6.2,24,75,17,"79.6, 13.9, 71.1",101.7,Valid (Active),Critical (Severe Overexposure)
CP-107,31.39,5.25,6.0,25,65,21,"80.4, 13.4, 70.7",101.7,Valid (Active),Critical (Severe Overexposure)
CP-108,10.53,6.88,1.5,32,45,58,"79.3, 14.5, 69.5",100.0,Valid (Active),Critical (Severe Overexposure)
CP-109,1.44,0.25,5.7,38,66,92,"46.2, 17.6, -8.1",17.2,EXPIRED,Expired (Degraded Matrix Reissue)
CP-110,12.1,2.0,6.0,33,48,102,"45.9, 17.2, -6.8",18.4,EXPIRED,Expired (Degraded Matrix Reissue)
CP-111,0.36,0.25,1.4,37,68,93,"46.8, 16.9, -6.4",19.1,EXPIRED,Expired (Degraded Matrix Reissue)
CP-112,5.21,1.0,5.2,24,35,102,"47.1, 17.8, -7.3",18.1,EXPIRED,Expired (Degraded Matrix Reissue)
CP-113,2.74,2.0,1.4,37,77,101,"46.1, 17.4, -7.0",18.2,EXPIRED,Expired (Degraded Matrix Reissue)
CP-114,0.0,0.0,4.7,40,41,104,"45.5, 17.7, -8.3",16.8,EXPIRED,Expired (Degraded Matrix Reissue)
CP-115,0.0,0.0,4.3,24,36,96,"46.6, 16.2, -7.3",18.7,EXPIRED,Expired (Degraded Matrix Reissue)
CP-116,0.74,0.25,3.0,29,46,104,"46.2, 18.1, -7.8",17.2,EXPIRED,Expired (Degraded Matrix Reissue)
CP-117,22.12,3.5,6.3,29,62,98,"46.1, 17.2, -7.4",17.9,EXPIRED,Expired (Degraded Matrix Reissue)
CP-118,0.0,0.0,7.6,31,64,102,"46.6, 16.8, -6.9",18.7,EXPIRED,Expired (Degraded Matrix Reissue)
CP-119,0.58,0.1,5.8,24,57,91,"46.6, 17.1, -7.7",17.9,EXPIRED,Expired (Degraded Matrix Reissue)
CP-120,1.5,1.0,1.5,41,36,92,"45.4, 17.3, -7.1",17.9,EXPIRED,Expired (Degraded Matrix Reissue)
