Sample_ID,H2S_Concentration_ppm,Exposure_Time_h,Target_Dose_ppm_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,Sensor_Chemistry,Visual_Stage,L_star,a_star,b_star,Delta_E_CIE76,Prototype_Severity_Class,Data_Status,Data_Origin,Underlying_Model,Literature_Anchor,Synthetic_Flag
CP-011,0.00,0.50,0.000,33.4,59.8,42,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.1,-22.2,0.22,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-012,0.00,1.00,0.000,23.1,79.1,41,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.8,25.8,-22.5,0.62,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-013,0.00,1.00,0.000,39.9,54.9,34,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.5,-22.1,0.51,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-014,0.00,1.00,0.000,39.5,52.0,29,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),41.1,25.8,-22.0,0.63,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-015,0.00,8.00,0.000,19.1,37.5,21,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.4,26.1,-23.3,1.31,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-016,0.00,8.00,0.000,30.7,80.6,2,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),41.5,25.9,-22.8,1.28,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-017,0.00,0.50,0.000,30.9,45.3,44,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.4,26.2,-21.1,0.93,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-018,0.00,6.00,0.000,35.3,80.6,23,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.7,-22.6,0.92,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-019,0.00,1.00,0.000,25.2,63.9,26,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.3,26.2,-20.8,1.23,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-020,0.00,0.50,0.000,40.0,61.9,63,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.2,26.3,-21.7,0.52,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-021,0.00,0.50,0.000,41.6,72.3,31,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.5,-21.2,0.94,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-022,0.00,1.00,0.000,37.6,80.9,69,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.8,26.3,-21.5,0.66,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-023,0.00,1.00,0.000,31.2,45.3,55,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),41.2,25.7,-22.3,0.82,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-024,0.00,4.00,0.000,27.6,65.6,48,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),39.8,26.4,-22.4,0.90,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-025,0.00,6.00,0.000,23.9,35.2,3,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),39.9,25.8,-21.1,1.10,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-026,0.00,2.00,0.000,19.4,35.4,5,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.3,-21.8,0.36,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-027,0.00,8.00,0.000,34.1,42.7,17,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),41.0,25.8,-22.9,1.05,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-028,0.00,8.00,0.000,37.4,41.5,13,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.6,25.6,-21.8,0.46,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-029,0.00,0.50,0.000,29.2,68.5,13,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.2,26.2,-21.7,0.47,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-030,0.00,1.00,0.000,22.6,54.4,55,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.2,25.9,-21.6,0.51,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-031,0.05,5.30,0.265,40.2,54.2,71,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.4,30.3,-12.3,11.69,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-032,0.09,3.36,0.302,23.7,52.3,62,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.8,30.6,-13.1,11.33,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-033,0.08,1.94,0.155,41.6,45.3,59,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.3,28.9,-15.9,7.75,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-034,0.05,1.69,0.085,19.2,55.8,68,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.3,26.9,-19.5,3.21,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-035,0.12,2.70,0.324,23.6,38.0,73,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.3,30.0,-15.2,9.23,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-036,0.19,1.28,0.243,41.9,35.7,28,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.3,29.7,-14.0,10.04,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-037,0.24,0.31,0.074,23.9,46.2,57,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.1,26.9,-20.1,2.64,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-038,0.26,1.45,0.377,21.2,37.8,14,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.9,30.6,-12.0,11.85,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-039,0.19,2.20,0.418,26.2,66.4,34,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),47.3,31.7,-10.6,14.45,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-040,0.16,0.32,0.051,19.1,48.7,17,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),40.9,27.6,-19.7,2.83,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-041,0.21,1.40,0.294,39.7,59.3,48,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.2,31.0,-11.3,13.11,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-042,0.10,1.51,0.151,38.7,76.9,27,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.3,28.9,-16.4,6.90,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-043,0.10,1.48,0.148,27.9,41.0,43,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.0,27.9,-16.6,6.25,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-044,0.10,0.43,0.043,22.8,77.9,45,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),41.6,27.0,-19.7,2.74,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-045,0.13,0.46,0.060,38.7,80.3,36,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.2,27.1,-20.7,2.41,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-046,0.02,7.42,0.148,18.9,61.8,45,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.5,27.7,-17.4,5.30,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-047,0.24,1.22,0.293,35.8,65.5,47,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.4,30.4,-12.4,12.10,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-048,0.20,0.25,0.050,34.7,59.7,25,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),41.3,26.9,-19.3,2.96,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-049,0.05,7.63,0.382,31.9,64.7,60,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),47.0,32.0,-10.2,14.75,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-050,0.30,0.81,0.243,19.1,81.2,79,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.6,29.3,-13.8,9.74,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-051,0.15,1.39,0.208,22.7,66.8,64,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.9,28.5,-14.5,8.61,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-052,0.32,1.19,0.381,36.7,42.9,67,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.9,31.6,-10.4,13.97,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-053,0.11,2.17,0.239,30.7,59.9,41,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.4,29.3,-14.9,8.75,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-054,0.10,2.85,0.285,24.6,35.9,37,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.8,29.9,-14.3,9.64,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
