sample_id,block,replicate,h2s_ppm,duration_h,exposure_profile,true_dose_ppmh,temp_C,rh_pct,sealed_pouch,strip_age_days,light_klux_h,uv_film,read_delay_h,interferent,agZone_L,agZone_a,agZone_b,agZone_R,agZone_G,agZone_B,agZone_dE,agZone_frac,cuZone_L,cuZone_a,cuZone_b,cuZone_R,cuZone_G,cuZone_B,cuZone_dE,cuZone_frac,ctrl_patch_frac,seal_dot,est_agZone_ppmh,est_cuZone_ppmh,est_dose_ppmh,ci95_low,ci95_high,est_error_pct,qa_flag,data_type
SIM-0011,A_core,2,0.25,4.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,84.23,0.88,2.34,214,209,206,9.83,0.148,81.5,-7.59,-13.45,172,208,227,0.85,0.0128,0.0039,WHITE (intact),1.042,,1.042,0.83,1.253,4.2,OK,SIMULATED
SIM-0012,A_core,3,0.25,4.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,84.87,0.15,3.13,215,212,206,9.14,0.1383,80.68,-7.25,-13.16,171,205,224,1.73,0.0285,0.0102,WHITE (intact),0.924,1.931,0.936,0.734,1.138,-6.4,OK,SIMULATED
SIM-0013,A_core,1,0.25,8.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,75.71,0.69,3.65,191,186,180,18.31,0.2772,80.53,-7.34,-13.12,170,205,224,1.83,0.0308,0.0019,WHITE (intact),2.152,2.083,2.15,1.85,2.45,7.5,OK,SIMULATED
SIM-0014,A_core,2,0.25,8.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,76.42,0.15,2.96,191,188,183,17.58,0.2661,80.39,-7.4,-12.97,170,205,223,2.0,0.0338,-0.003,WHITE (intact),2.062,2.292,2.068,1.776,2.36,3.4,OK,SIMULATED
SIM-0015,A_core,3,0.25,8.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,75.39,0.28,3.27,189,185,180,18.61,0.2818,79.76,-7.01,-13.0,169,203,221,2.65,0.0446,-0.0014,WHITE (intact),2.207,3.039,2.229,1.924,2.533,11.4,OK,SIMULATED
SIM-0016,A_core,1,0.5,0.5,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,91.9,0.47,2.65,235,231,227,2.18,0.0319,82.11,-7.47,-13.59,174,210,229,0.68,0.0031,-0.0037,WHITE (intact),0.216,,0.216,0.051,0.381,-13.5,OK,SIMULATED
SIM-0017,A_core,2,0.5,0.5,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,91.44,-0.12,3.43,233,230,224,2.6,0.0388,81.66,-7.07,-13.66,173,208,228,1.05,0.0109,0.0004,WHITE (intact),0.261,,0.261,0.094,0.427,4.3,OK,SIMULATED
SIM-0018,A_core,3,0.5,0.5,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,91.28,0.5,3.17,234,229,224,2.77,0.0415,81.44,-8.45,-13.83,169,208,228,0.73,0.008,0.0047,WHITE (intact),0.251,,0.251,0.085,0.417,0.4,OK,SIMULATED
SIM-0019,A_core,1,0.5,1.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,88.81,0.91,3.84,228,222,216,5.33,0.0791,82.06,-7.36,-14.18,173,209,230,0.67,0.0,-0.0004,WHITE (intact),0.549,,0.549,0.369,0.729,9.9,OK,SIMULATED
SIM-0020,A_core,2,0.5,1.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.59,0.04,2.54,227,225,220,4.43,0.0666,80.96,-8.22,-13.64,169,207,226,1.12,0.0175,-0.007,WHITE (intact),0.459,,0.459,0.284,0.635,-8.1,OK,SIMULATED
SIM-0021,A_core,3,0.5,1.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.39,-0.82,3.33,226,225,218,4.7,0.0695,81.9,-8.84,-13.81,170,210,229,0.87,-0.0001,0.0022,WHITE (intact),0.465,,0.465,0.29,0.641,-6.9,OK,SIMULATED
SIM-0022,A_core,1,0.5,2.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,83.84,0.2,2.66,212,209,204,10.17,0.1538,81.58,-8.09,-13.73,171,208,228,0.51,0.008,-0.0072,WHITE (intact),1.113,,1.113,0.897,1.33,11.3,OK,SIMULATED
SIM-0023,A_core,2,0.5,2.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,83.92,0.55,3.99,214,209,202,10.15,0.1531,81.19,-7.34,-13.19,172,207,226,1.32,0.0203,-0.0011,WHITE (intact),1.108,,1.108,0.891,1.324,10.8,OK,SIMULATED
SIM-0024,A_core,3,0.5,2.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,85.23,0.12,2.61,215,213,208,8.77,0.1326,80.86,-7.68,-13.84,170,206,226,1.2,0.0196,-0.0043,WHITE (intact),0.949,,0.949,0.744,1.153,-5.1,OK,SIMULATED
SIM-0025,A_core,1,0.5,4.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,76.23,0.74,4.0,193,187,181,17.81,0.2695,79.99,-7.36,-13.41,168,204,223,2.19,0.0369,-0.004,WHITE (intact),2.094,2.505,2.104,1.809,2.398,5.2,OK,SIMULATED
SIM-0026,A_core,2,0.5,4.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,77.89,0.04,2.8,195,192,187,16.11,0.2438,81.19,-7.38,-13.24,172,207,226,1.27,0.0198,0.0031,WHITE (intact),1.842,,1.842,1.566,2.118,-7.9,OK,SIMULATED
SIM-0027,A_core,3,0.5,4.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,75.25,0.82,3.6,190,185,179,18.77,0.2842,80.74,-8.21,-12.79,169,206,224,1.76,0.027,-0.0019,WHITE (intact),2.229,1.823,2.218,1.911,2.525,10.9,OK,SIMULATED
SIM-0028,A_core,1,0.5,8.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,64.47,0.84,3.88,161,156,149,29.55,0.4474,79.29,-7.07,-12.32,169,201,219,3.32,0.0562,0.0036,WHITE (intact),3.931,3.854,3.926,3.461,4.392,-1.8,OK,SIMULATED
SIM-0029,A_core,2,0.5,8.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,65.15,1.05,3.53,163,157,152,28.87,0.4372,79.53,-7.96,-12.72,167,203,220,2.78,0.0466,0.0056,WHITE (intact),3.794,3.185,3.76,3.308,4.212,-6.0,OK,SIMULATED
SIM-0030,A_core,3,0.5,8.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,63.31,0.55,2.87,157,153,148,30.69,0.4646,80.02,-7.22,-12.08,171,203,220,2.86,0.0462,0.0067,WHITE (intact),4.121,3.155,4.058,3.575,4.541,1.5,OK,SIMULATED
SIM-0031,A_core,1,1.0,0.5,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,90.45,0.96,3.0,232,227,222,3.68,0.0542,81.32,-7.75,-13.31,171,207,226,1.0,0.0161,0.0084,WHITE (intact),0.315,,0.315,0.146,0.484,-37.1,OK,SIMULATED
SIM-0032,A_core,2,1.0,0.5,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.41,0.21,3.22,228,224,219,4.6,0.0696,81.68,-7.76,-13.93,172,209,229,0.4,0.0061,-0.0056,WHITE (intact),0.481,,0.481,0.304,0.657,-3.8,OK,SIMULATED
SIM-0033,A_core,3,1.0,0.5,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,88.49,0.44,3.78,226,222,215,5.58,0.0837,81.86,-8.17,-13.69,171,209,229,0.38,0.0038,-0.0001,WHITE (intact),0.583,,0.583,0.401,0.765,16.6,OK,SIMULATED
SIM-0034,A_core,1,1.0,1.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,85.29,0.64,2.72,217,212,208,8.73,0.132,81.99,-7.16,-13.94,174,209,230,0.84,0.0035,0.0045,WHITE (intact),0.914,,0.914,0.711,1.116,-8.6,OK,SIMULATED
SIM-0035,A_core,2,1.0,1.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,84.68,0.06,2.93,214,211,206,9.32,0.141,81.06,-8.62,-13.34,169,207,226,1.31,0.0168,0.0024,WHITE (intact),0.997,,0.997,0.789,1.206,-0.3,OK,SIMULATED
SIM-0036,A_core,3,1.0,1.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,85.55,0.19,2.98,217,213,208,8.45,0.128,81.44,-7.62,-14.28,171,208,229,0.74,0.0079,-0.0004,WHITE (intact),0.913,,0.913,0.711,1.116,-8.7,OK,SIMULATED
SIM-0037,A_core,1,1.0,2.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,76.87,0.07,3.71,193,189,183,17.14,0.2594,79.77,-7.75,-13.57,167,203,222,2.29,0.0378,0.0007,WHITE (intact),1.997,2.572,2.011,1.724,2.297,0.5,OK,SIMULATED
SIM-0038,A_core,2,1.0,2.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,76.41,0.54,3.25,192,188,183,17.6,0.2666,81.18,-7.75,-13.45,171,207,226,1.02,0.0172,-0.0172,WHITE (intact),2.067,,2.067,1.771,2.363,3.3,OK,SIMULATED
SIM-0039,A_core,3,1.0,2.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,78.36,-0.36,2.83,195,194,189,15.65,0.2365,80.33,-7.91,-12.86,169,205,223,2.02,0.0336,0.0081,WHITE (intact),1.745,2.278,1.756,1.491,2.021,-12.2,OK,SIMULATED
SIM-0040,A_core,1,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,63.62,1.29,3.3,159,153,148,30.41,0.4604,78.52,-7.55,-12.42,165,199,217,3.85,0.0655,-0.0097,WHITE (intact),4.113,4.515,4.138,3.655,4.621,3.4,OK,SIMULATED
SIM-0041,A_core,2,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,65.74,0.96,3.04,164,159,154,28.27,0.4281,79.19,-7.61,-12.45,167,201,219,3.23,0.055,-0.0009,WHITE (intact),3.725,3.768,3.728,3.282,4.173,-6.8,OK,SIMULATED
SIM-0042,A_core,3,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,64.05,0.39,3.35,159,155,149,29.95,0.4535,78.91,-7.51,-13.58,165,201,220,3.16,0.0516,-0.0087,WHITE (intact),4.028,3.535,3.997,3.523,4.472,-0.1,OK,SIMULATED
SIM-0043,A_core,1,1.0,8.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,49.85,0.88,4.24,123,118,111,44.17,0.6688,76.51,-5.94,-11.05,165,193,209,6.56,0.1113,-0.0012,WHITE (intact),7.367,7.865,7.437,6.633,8.24,-7.0,OK,SIMULATED
SIM-0044,A_core,2,1.0,8.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,50.65,1.14,3.77,125,120,114,43.38,0.6568,77.51,-6.13,-11.78,167,196,213,5.35,0.0903,-0.0003,WHITE (intact),7.13,6.309,7.014,6.238,7.789,-12.3,OK,SIMULATED
SIM-0045,A_core,3,1.0,8.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,46.77,1.21,3.57,116,110,105,47.25,0.7155,75.5,-6.05,-10.37,163,190,205,7.7,0.1311,-0.0103,WHITE (intact),8.38,9.366,8.54,7.633,9.448,6.8,OK,SIMULATED
SIM-0046,A_core,1,2.0,0.5,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,85.48,0.55,4.37,218,213,205,8.64,0.1294,81.64,-8.63,-13.34,170,209,227,0.99,0.008,0.0079,WHITE (intact),0.871,,0.871,0.671,1.071,-12.9,OK,SIMULATED
SIM-0047,A_core,2,2.0,0.5,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,84.58,0.38,2.75,214,211,206,9.43,0.1426,81.65,-7.15,-13.5,173,208,228,1.05,0.0118,0.0001,WHITE (intact),1.025,,1.025,0.815,1.235,2.5,OK,SIMULATED
SIM-0048,A_core,3,2.0,0.5,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,85.19,0.37,3.74,217,212,206,8.84,0.1336,81.71,-7.82,-13.23,172,209,227,0.84,0.0104,-0.0043,WHITE (intact),0.956,,0.956,0.751,1.161,-4.4,OK,SIMULATED
SIM-0049,A_core,1,2.0,1.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,80.66,-0.1,2.59,202,200,195,13.35,0.2018,80.8,-7.46,-13.24,171,206,225,1.51,0.0254,-0.0002,WHITE (intact),1.502,,1.502,1.255,1.749,-24.9,OK,SIMULATED
SIM-0050,A_core,2,2.0,1.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,75.69,0.65,3.95,191,186,179,18.35,0.2776,80.41,-7.94,-12.94,169,205,223,1.91,0.0317,-0.0088,WHITE (intact),2.168,2.15,2.168,1.866,2.469,8.4,OK,SIMULATED
SIM-0051,A_core,3,2.0,1.0,constant,2.0,25.0,50.0,True,0,0.0,True,0,none,77.49,0.47,3.9,196,191,184,16.54,0.2502,80.19,-7.27,-13.34,169,204,223,2.06,0.0347,-0.0025,WHITE (intact),1.92,2.351,1.93,1.65,2.209,-3.5,OK,SIMULATED
SIM-0052,A_core,1,2.0,2.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,62.1,0.88,2.82,154,149,145,31.91,0.4832,78.64,-8.35,-12.85,163,200,218,3.57,0.0578,0.0021,WHITE (intact),4.386,3.97,4.357,3.848,4.866,8.9,OK,SIMULATED
SIM-0053,A_core,2,2.0,2.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,64.13,1.06,3.32,160,155,150,29.89,0.4526,78.52,-7.56,-11.44,166,199,215,4.35,0.0724,-0.0007,WHITE (intact),4.017,5.011,4.073,3.599,4.548,1.8,OK,SIMULATED
SIM-0054,A_core,3,2.0,2.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,63.04,0.98,2.84,157,152,148,30.98,0.469,78.48,-7.36,-12.14,166,199,216,4.03,0.0687,0.0151,WHITE (intact),4.119,4.743,4.157,3.673,4.64,3.9,OK,SIMULATED
SIM-0055,A_core,1,2.0,4.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,49.21,1.53,3.67,122,116,111,44.82,0.6787,76.74,-7.21,-11.83,162,194,211,5.74,0.0978,0.0094,WHITE (intact),7.506,6.863,7.408,6.595,8.222,-7.4,OK,SIMULATED
SIM-0056,A_core,2,2.0,4.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,48.97,1.08,3.62,121,116,110,45.05,0.6821,75.54,-6.94,-11.04,160,191,206,7.18,0.1225,0.0009,WHITE (intact),7.635,8.713,7.788,6.956,8.62,-2.7,OK,SIMULATED
SIM-0057,A_core,3,2.0,4.0,constant,8.0,25.0,50.0,True,0,0.0,True,0,none,49.18,1.05,3.84,122,116,110,44.84,0.6791,76.73,-5.96,-11.22,166,194,210,6.3,0.1066,0.0084,WHITE (intact),7.521,7.518,7.52,6.703,8.337,-6.0,OK,SIMULATED
SIM-0058,A_core,1,2.0,8.0,constant,16.0,25.0,50.0,True,0,0.0,True,0,none,34.61,1.57,3.54,86,80,76,59.41,0.8996,70.78,-4.62,-8.68,155,176,189,12.87,0.2195,0.0082,WHITE (intact),15.269,16.519,15.736,14.023,17.449,-1.7,OK,SIMULATED
SIM-0059,A_core,2,2.0,8.0,constant,16.0,25.0,50.0,True,0,0.0,True,0,none,36.3,1.59,4.88,91,84,78,57.75,0.8744,72.01,-5.7,-9.46,155,180,193,11.21,0.1916,-0.0095,WHITE (intact),13.83,14.179,13.947,12.437,15.456,-12.8,OK,SIMULATED
SIM-0060,A_core,3,2.0,8.0,constant,16.0,25.0,50.0,True,0,0.0,True,0,none,34.4,2.54,3.78,88,79,75,59.66,0.9033,70.87,-5.52,-9.0,153,177,189,12.45,0.2127,0.0003,WHITE (intact),15.572,15.942,15.719,13.982,17.456,-1.8,OK,SIMULATED
SIM-0061,A_core,1,5.0,0.5,constant,2.5,25.0,50.0,True,0,0.0,True,0,none,73.37,0.28,3.76,184,180,173,20.65,0.3126,80.14,-7.18,-13.49,169,204,223,2.09,0.0347,-0.0023,WHITE (intact),2.499,2.354,2.494,2.163,2.825,-0.2,OK,SIMULATED
SIM-0062,A_core,2,5.0,0.5,constant,2.5,25.0,50.0,True,0,0.0,True,0,none,73.15,0.34,3.25,183,179,174,20.85,0.3157,79.84,-6.76,-13.5,169,203,223,2.54,0.0406,-0.0004,WHITE (intact),2.529,2.766,2.536,2.203,2.87,1.5,OK,SIMULATED
SIM-0063,A_core,3,5.0,0.5,constant,2.5,25.0,50.0,True,0,0.0,True,0,none,74.71,0.61,3.46,188,183,178,19.3,0.2923,80.45,-7.59,-14.28,168,205,226,1.62,0.0229,-0.004,WHITE (intact),2.305,,2.305,1.987,2.623,-7.8,OK,SIMULATED
SIM-0064,A_core,1,5.0,1.0,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,59.33,0.4,4.14,147,142,136,34.69,0.5251,78.23,-6.98,-12.94,165,198,217,4.05,0.0683,0.0032,WHITE (intact),4.944,4.717,4.925,4.362,5.488,-1.5,OK,SIMULATED
SIM-0065,A_core,2,5.0,1.0,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,57.58,1.19,3.01,143,137,133,36.44,0.5517,77.58,-7.37,-11.76,164,197,213,4.99,0.085,0.0008,WHITE (intact),5.344,5.923,5.395,4.792,5.998,7.9,OK,SIMULATED
SIM-0066,A_core,3,5.0,1.0,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,59.01,0.6,3.5,146,141,136,35.0,0.53,78.21,-7.71,-12.37,164,199,216,4.14,0.07,0.0057,WHITE (intact),4.995,4.838,4.982,4.414,5.551,-0.4,OK,SIMULATED
SIM-0067,A_core,1,5.0,2.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,42.31,1.91,4.69,106,99,92,51.75,0.7835,75.04,-6.44,-10.92,160,189,204,7.77,0.1328,0.0035,WHITE (intact),10.178,9.499,10.022,8.938,11.106,0.2,OK,SIMULATED
SIM-0068,A_core,2,5.0,2.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,43.27,1.41,4.25,108,101,95,50.76,0.7687,75.28,-6.83,-10.82,160,190,205,7.53,0.1286,0.0015,WHITE (intact),9.75,9.173,9.625,8.585,10.665,-3.7,OK,SIMULATED
SIM-0069,A_core,3,5.0,2.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,41.82,1.66,2.86,104,98,94,52.21,0.7905,75.11,-5.73,-10.43,163,189,204,8.09,0.1376,0.013,WHITE (intact),10.332,9.871,10.225,9.123,11.327,2.2,OK,SIMULATED
SIM-0070,A_core,1,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.28,2.25,4.77,80,72,66,62.79,0.9507,67.83,-4.27,-7.7,149,168,179,15.95,0.2724,-0.0212,WHITE (intact),,21.198,21.198,17.982,24.414,6.0,OK,SIMULATED
SIM-0071,A_core,2,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,30.63,2.29,3.74,78,71,66,63.42,0.9603,67.78,-5.45,-7.23,147,169,178,15.95,0.2723,-0.0085,WHITE (intact),,21.194,21.194,17.978,24.41,6.0,OK,SIMULATED
SIM-0072,A_core,3,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,32.01,2.36,4.08,82,74,69,62.04,0.9395,69.13,-5.04,-9.03,150,172,185,14.11,0.2406,-0.0019,WHITE (intact),18.697,18.35,18.51,16.339,20.681,-7.4,OK,SIMULATED
SIM-0073,A_core,1,5.0,8.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.24,1.73,3.9,72,66,61,65.79,0.9963,58.75,-2.52,-3.34,134,143,147,26.16,0.447,0.004,WHITE (intact),,39.498,39.498,34.456,44.54,-1.3,OK,SIMULATED
SIM-0074,A_core,2,5.0,8.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,27.61,2.01,4.34,71,64,59,66.43,1.0059,60.44,-3.06,-2.63,138,148,150,24.87,0.4244,0.0197,WHITE (intact),,36.819,36.819,32.06,41.578,-8.0,OK,SIMULATED
SIM-0075,A_core,3,5.0,8.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.03,1.78,4.27,72,65,60,66.0,0.9995,58.88,-3.03,-3.6,133,144,148,25.83,0.4414,-0.0063,WHITE (intact),,38.819,38.819,33.849,43.788,-3.0,OK,SIMULATED
SIM-0076,A_core,1,10.0,0.5,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,61.62,1.36,3.11,154,148,143,32.41,0.4907,79.33,-8.05,-12.16,167,202,219,3.24,0.0533,-0.0021,WHITE (intact),4.498,3.652,4.436,3.917,4.956,-11.3,OK,SIMULATED
SIM-0077,A_core,2,10.0,0.5,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,57.72,0.36,3.41,142,138,133,36.28,0.5493,78.14,-6.44,-12.24,167,198,215,4.52,0.0764,0.0102,WHITE (intact),5.245,5.297,5.249,4.657,5.842,5.0,OK,SIMULATED
SIM-0078,A_core,3,10.0,0.5,constant,5.0,25.0,50.0,True,0,0.0,True,0,none,60.86,2.0,3.7,153,145,140,33.21,0.5027,78.59,-7.05,-13.09,166,199,218,3.66,0.0615,0.007,WHITE (intact),4.61,4.234,4.582,4.052,5.113,-8.4,OK,SIMULATED
SIM-0079,A_core,1,10.0,1.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,41.87,1.31,3.0,103,98,94,52.15,0.7896,74.76,-6.44,-10.0,161,188,202,8.42,0.1435,-0.0064,WHITE (intact),10.39,10.323,10.375,9.264,11.486,3.7,OK,SIMULATED
SIM-0080,A_core,2,10.0,1.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,41.77,2.43,3.31,105,97,93,52.29,0.7917,74.37,-5.86,-10.67,160,187,202,8.6,0.1467,-0.0018,WHITE (intact),10.457,10.578,10.485,9.365,11.604,4.8,OK,SIMULATED
SIM-0081,A_core,3,10.0,1.0,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,43.49,1.97,3.5,109,101,97,50.55,0.7654,75.08,-6.36,-11.5,160,189,206,7.53,0.1283,-0.0059,WHITE (intact),9.667,9.153,9.558,8.526,10.59,-4.4,OK,SIMULATED
SIM-0082,A_core,1,10.0,2.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.87,1.38,4.78,80,74,68,62.18,0.9414,69.23,-5.14,-8.05,151,172,183,14.38,0.2458,-0.0031,WHITE (intact),18.913,18.804,18.854,16.641,21.066,-5.7,OK,SIMULATED
SIM-0083,A_core,2,10.0,2.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.54,2.27,4.17,81,73,68,62.51,0.9466,68.01,-4.39,-8.11,149,169,180,15.61,0.2665,0.0019,WHITE (intact),19.52,20.658,20.15,17.794,22.505,0.7,OK,SIMULATED
SIM-0084,A_core,3,10.0,2.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,30.83,1.79,3.55,78,71,67,63.19,0.9569,67.94,-5.08,-6.94,149,169,178,16.0,0.2733,-0.0061,WHITE (intact),,21.279,21.279,18.056,24.503,6.4,OK,SIMULATED
SIM-0085,A_core,1,10.0,4.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.45,2.08,4.14,73,66,61,65.6,0.9933,59.16,-2.39,-2.91,135,144,147,26.0,0.4442,-0.0073,WHITE (intact),,39.162,39.162,34.155,44.168,-2.1,OK,SIMULATED
SIM-0086,A_core,2,10.0,4.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.31,0.69,3.82,70,66,61,65.7,0.9946,57.67,-2.45,-1.83,132,140,142,27.76,0.4742,0.0108,WHITE (intact),,42.853,42.853,37.451,48.255,7.1,OK,SIMULATED
SIM-0087,A_core,3,10.0,4.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.07,2.08,4.26,72,65,60,65.98,0.9991,59.61,-2.8,-3.33,135,145,149,25.34,0.4331,-0.0017,WHITE (intact),,37.835,37.835,32.969,42.701,-5.4,OK,SIMULATED
SIM-0088,A_core,1,10.0,8.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,28.34,2.17,3.43,72,66,62,65.7,0.9948,46.05,-0.38,2.65,110,109,105,40.34,0.6894,0.0027,WHITE (intact),,77.947,77.947,68.385,87.509,-2.6,OK,SIMULATED
